trace_load_factor,file,N,arrival_min,arrival_max,duration_s
0.8,data/trace_inputs/arrivals_h77_load0.8.csv,233271,7.220941519142654e-05,4499.8714767688025,4499.871404559387
0.9,data/trace_inputs/arrivals_h77_load0.9.csv,233271,6.41861468368236e-05,3999.8857571278245,3999.8856929416775
1.0,data/trace_inputs/arrivals_h77_load1.0.csv,233271,5.776753215314123e-05,3599.8971814150423,3599.89712364751
1.1,data/trace_inputs/arrivals_h77_load1.1.csv,233271,5.251593832103748e-05,3272.6338012864016,3272.633748770463
1.2,data/trace_inputs/arrivals_h77_load1.2.csv,233271,4.8139610127617694e-05,2999.9143178458685,2999.9142697062584
1.3,data/trace_inputs/arrivals_h77_load1.3.csv,233271,4.4436563194724024e-05,2769.1516780115708,2769.1516335750075
1.4,data/trace_inputs/arrivals_h77_load1.4.csv,233271,4.1262522966529455e-05,2571.355129582173,2571.35508831965
1.5,data/trace_inputs/arrivals_h77_load1.5.csv,233271,3.8511688102094155e-05,2399.9314542766947,2399.9314157650065
1.6,data/trace_inputs/arrivals_h77_load1.6.csv,233271,3.610470759571327e-05,2249.9357383844012,2249.9357022796935
